topic,idx,source,sink,claim,paper_id,abstract
Cultural life,330,more biased recommendations,monthly stock returns,"Share price reactions to recommendations by more biased analysts are weaker, and more biased recommendations are worse predictors of monthly stock returns.",189,"ABSTRACT A more positive cultural trust bias by an equity analyst's country of origin toward a firm's headquarter country is associated with significantly more positive stock recommendations. The cultural bias effect is stronger for eponymous firms whose names mention their home country and varies over time, increasing with negative sentiment. I find evidence of a negative North‐South bias during the European debt crisis and United Kingdom‐Europe divergence amid Brexit. Share price reactions to recommendations by more biased analysts are weaker, and more biased recommendations are worse predictors of monthly stock returns. More positively biased analysts also assign higher target prices."
Earnings,331,no‐dividend stocks,stock market returns,The presence of no‐dividend stocks in the stock market leads to a lower correlation between stock market returns and the aggregate consumption growth rate,190,"ABSTRACT We develop a stationary model of the aggregate stock market featuring both dividend‐paying and no‐dividend stocks within a familiar, parsimonious consumption‐based equilibrium framework. We find that such a simple feature leads to profound implications supporting several stock market empirical regularities that leading consumption‐based asset pricing models have difficulty reconciling. Namely, the presence of no‐dividend stocks in the stock market leads to a lower correlation between stock market returns and the aggregate consumption growth rate, a nonmonotonic and even negative relation between the stock market risk premium and its volatility, and a downward‐sloping term structure of equity risk premia."
Earnings forecasts,332,no‐dividend stocks,stock market returns,The presence of no‐dividend stocks in the stock market leads to a nonmonotonic and even negative relation between the stock market risk premium and its volatility,190,"ABSTRACT We develop a stationary model of the aggregate stock market featuring both dividend‐paying and no‐dividend stocks within a familiar, parsimonious consumption‐based equilibrium framework. We find that such a simple feature leads to profound implications supporting several stock market empirical regularities that leading consumption‐based asset pricing models have difficulty reconciling. Namely, the presence of no‐dividend stocks in the stock market leads to a lower correlation between stock market returns and the aggregate consumption growth rate, a nonmonotonic and even negative relation between the stock market risk premium and its volatility, and a downward‐sloping term structure of equity risk premia."
Earnings,333,no‐dividend stocks,stock market returns,The presence of no‐dividend stocks in the stock market leads to a downward‐sloping term structure of equity risk premia,190,"ABSTRACT We develop a stationary model of the aggregate stock market featuring both dividend‐paying and no‐dividend stocks within a familiar, parsimonious consumption‐based equilibrium framework. We find that such a simple feature leads to profound implications supporting several stock market empirical regularities that leading consumption‐based asset pricing models have difficulty reconciling. Namely, the presence of no‐dividend stocks in the stock market leads to a lower correlation between stock market returns and the aggregate consumption growth rate, a nonmonotonic and even negative relation between the stock market risk premium and its volatility, and a downward‐sloping term structure of equity risk premia."
Options / VIX,334,slow‐moving beliefs about stock market volatility,stock returns,Agents have slow‐moving beliefs about stock market volatility that lead to initial underreaction to volatility shocks followed by delayed overreaction affecting stock returns.,191,"ABSTRACT We provide evidence that agents have slow‐moving beliefs about stock market volatility that lead to initial underreaction to volatility shocks followed by delayed overreaction. These dynamics are mirrored in the VIX and variance risk premiums, which reflect investor expectations about volatility, and are also supported in both surveys and firm‐level option prices. We embed these expectations into an asset pricing model and find that the model can account for a number of stylized facts about market returns and return volatility that are difficult to reconcile, including a weak or even negative risk‐return trade‐off."
Options / VIX,335,VIX and variance risk premiums,market returns,Dynamics mirrored in the VIX and variance risk premiums reflect investor expectations about volatility that can account for market returns.,191,"ABSTRACT We provide evidence that agents have slow‐moving beliefs about stock market volatility that lead to initial underreaction to volatility shocks followed by delayed overreaction. These dynamics are mirrored in the VIX and variance risk premiums, which reflect investor expectations about volatility, and are also supported in both surveys and firm‐level option prices. We embed these expectations into an asset pricing model and find that the model can account for a number of stylized facts about market returns and return volatility that are difficult to reconcile, including a weak or even negative risk‐return trade‐off."
Options / VIX,336,asset pricing model,market returns,"Model can account for stylized facts about market returns and return volatility that are difficult to reconcile, including a weak or even negative risk‐return trade‐off.",191,"ABSTRACT We provide evidence that agents have slow‐moving beliefs about stock market volatility that lead to initial underreaction to volatility shocks followed by delayed overreaction. These dynamics are mirrored in the VIX and variance risk premiums, which reflect investor expectations about volatility, and are also supported in both surveys and firm‐level option prices. We embed these expectations into an asset pricing model and find that the model can account for a number of stylized facts about market returns and return volatility that are difficult to reconcile, including a weak or even negative risk‐return trade‐off."
Wide range,337,"cryptocurrency market, size, and momentum",cryptocurrency returns,"Three factors—cryptocurrency market, size, and momentum—capture the cross‐sectional expected cryptocurrency returns.",192,"ABSTRACT We find that three factors—cryptocurrency market, size, and momentum—capture the cross‐sectional expected cryptocurrency returns. We consider a comprehensive list of price‐ and market‐related return predictors in the stock market and construct their cryptocurrency counterparts. Ten cryptocurrency characteristics form successful long‐short strategies that generate sizable and statistically significant excess returns, and we show that all of these strategies are accounted for by the cryptocurrency three‐factor model. Lastly, we examine potential underlying mechanisms of the cryptocurrency size and momentum effects."
Bear / bull market,338,Robinhood investors' increased holdings,stock returns,Increased holdings by Robinhood investors in March 2020 contributed to positive stock returns during the subsequent bull market.,194,"ABSTRACT Robinhood investors increased their holdings in the March 2020 COVID bear market, indicating an absence of collective panic and margin calls. This steadfastness was rewarded in the subsequent bull market. Despite unusual interest in some “experience” stocks (e.g., cannabis stocks), they tilted primarily toward stocks with high past share volume and dollar‐trading volume (themselves mostly big stocks). From mid‐2018 to mid‐2020, an aggregated crowd consensus portfolio (a proxy for the household‐equal‐weighted portfolio) had both good timing and good alpha."
Bear / bull market,339,high past share volume and dollar-trading volume,stock returns,Stocks with high past share volume and dollar-trading volume are associated with positive stock returns.,194,"ABSTRACT Robinhood investors increased their holdings in the March 2020 COVID bear market, indicating an absence of collective panic and margin calls. This steadfastness was rewarded in the subsequent bull market. Despite unusual interest in some “experience” stocks (e.g., cannabis stocks), they tilted primarily toward stocks with high past share volume and dollar‐trading volume (themselves mostly big stocks). From mid‐2018 to mid‐2020, an aggregated crowd consensus portfolio (a proxy for the household‐equal‐weighted portfolio) had both good timing and good alpha."
Bear / bull market,340,aggregated crowd consensus portfolio,stock returns,"The aggregated crowd consensus portfolio from mid-2018 to mid-2020 had good timing and good alpha, leading to positive stock returns.",194,"ABSTRACT Robinhood investors increased their holdings in the March 2020 COVID bear market, indicating an absence of collective panic and margin calls. This steadfastness was rewarded in the subsequent bull market. Despite unusual interest in some “experience” stocks (e.g., cannabis stocks), they tilted primarily toward stocks with high past share volume and dollar‐trading volume (themselves mostly big stocks). From mid‐2018 to mid‐2020, an aggregated crowd consensus portfolio (a proxy for the household‐equal‐weighted portfolio) had both good timing and good alpha."
Earnings forecasts,341,momentum in factor returns,individual stock returns,Momentum in individual stock returns relates to momentum in factor returns,195,ABSTRACT Momentum in individual stock returns relates to momentum in factor returns. Most factors are positively autocorrelated: the average factor earns a monthly return of six basis points following a year of losses and 51 basis points following a positive year. We find that factor momentum concentrates in factors that explain more of the cross section of returns and that it is not incidental to individual stock momentum: momentum‐neutral factors display more momentum. Momentum found in high‐eigenvalue principal component factors subsumes most forms of individual stock momentum. Our results suggest that momentum is not a distinct risk factor—it times other factors.
Earnings losses,342,year of losses,monthly return of average factor,The average factor earns a monthly return of six basis points following a year of losses,195,ABSTRACT Momentum in individual stock returns relates to momentum in factor returns. Most factors are positively autocorrelated: the average factor earns a monthly return of six basis points following a year of losses and 51 basis points following a positive year. We find that factor momentum concentrates in factors that explain more of the cross section of returns and that it is not incidental to individual stock momentum: momentum‐neutral factors display more momentum. Momentum found in high‐eigenvalue principal component factors subsumes most forms of individual stock momentum. Our results suggest that momentum is not a distinct risk factor—it times other factors.
Positive sentiment,343,positive year,monthly return of average factor,The average factor earns a monthly return of 51 basis points following a positive year,195,ABSTRACT Momentum in individual stock returns relates to momentum in factor returns. Most factors are positively autocorrelated: the average factor earns a monthly return of six basis points following a year of losses and 51 basis points following a positive year. We find that factor momentum concentrates in factors that explain more of the cross section of returns and that it is not incidental to individual stock momentum: momentum‐neutral factors display more momentum. Momentum found in high‐eigenvalue principal component factors subsumes most forms of individual stock momentum. Our results suggest that momentum is not a distinct risk factor—it times other factors.
Earnings forecasts,344,momentum found in high‐eigenvalue principal component factors,individual stock momentum,Momentum found in high‐eigenvalue principal component factors subsumes most forms of individual stock momentum,195,ABSTRACT Momentum in individual stock returns relates to momentum in factor returns. Most factors are positively autocorrelated: the average factor earns a monthly return of six basis points following a year of losses and 51 basis points following a positive year. We find that factor momentum concentrates in factors that explain more of the cross section of returns and that it is not incidental to individual stock momentum: momentum‐neutral factors display more momentum. Momentum found in high‐eigenvalue principal component factors subsumes most forms of individual stock momentum. Our results suggest that momentum is not a distinct risk factor—it times other factors.
Trading activity,345,Trade ideas based on expectations of future events,stock returns,Trade ideas based on expectations of future events are more informative than those identifying incomplete incorporation of past information in stock prices.,196,"ABSTRACT Short‐term trade ideas are a component of analyst research highly valued by institutional investors. Using a novel and comprehensive database, we find that trade ideas have a stock price impact at least as large as recommendation and target price changes. Trade ideas based on expectations of future events are more informative than those identifying incomplete incorporation of past information in stock prices. Analysts with better access to a firm's management produce better trade ideas. Institutional investors trade in the direction of trade ideas. Investors following trade ideas can earn significant abnormal returns, consistent with analysts possessing valuable short‐term stock‐picking skills."
Management changes,346,Analysts with better access to a firm's management,stock returns,Analysts with better access to a firm's management produce better trade ideas that can lead to significant abnormal returns.,196,"ABSTRACT Short‐term trade ideas are a component of analyst research highly valued by institutional investors. Using a novel and comprehensive database, we find that trade ideas have a stock price impact at least as large as recommendation and target price changes. Trade ideas based on expectations of future events are more informative than those identifying incomplete incorporation of past information in stock prices. Analysts with better access to a firm's management produce better trade ideas. Institutional investors trade in the direction of trade ideas. Investors following trade ideas can earn significant abnormal returns, consistent with analysts possessing valuable short‐term stock‐picking skills."
Investment banking,347,Following trade ideas,stock returns,Investors following trade ideas can earn significant abnormal returns.,196,"ABSTRACT Short‐term trade ideas are a component of analyst research highly valued by institutional investors. Using a novel and comprehensive database, we find that trade ideas have a stock price impact at least as large as recommendation and target price changes. Trade ideas based on expectations of future events are more informative than those identifying incomplete incorporation of past information in stock prices. Analysts with better access to a firm's management produce better trade ideas. Institutional investors trade in the direction of trade ideas. Investors following trade ideas can earn significant abnormal returns, consistent with analysts possessing valuable short‐term stock‐picking skills."
Earnings losses,348,mean and volatility of stock returns,stock returns,Participants respond to changes in the mean and volatility of stock returns consistent with textbook models,197,"ABSTRACT Textbook models assume that investors try to insure against bad states of the world associated with specific risk factors when investing. This is a testable assumption and we develop a survey framework for doing so. Our framework can be applied to any risk factor. We demonstrate the approach using consumption growth, which makes our results applicable to most modern asset‐pricing models. Participants respond to changes in the mean and volatility of stock returns consistent with textbook models, but we find no evidence that they view an asset's correlation with consumption growth as relevant to investment decisions."
C-suite,349,CEO's political leaning,stock returns,Firms with a Republican‐leaning CEO experience higher sales and positive abnormal stock returns due to increased store visits.,198,"ABSTRACT Maintaining economic output during the COVID‐19 pandemic results in benefits for firm shareholders but comes at a potential cost to public health. Using store‐level data, we examine how a CEO's political leaning impacts this trade‐off. We document that firms with a Republican‐leaning CEO experience a relative increase in store visits compared to firms with a Democratic‐leaning CEO. The increase in store visits is associated with higher sales and positive abnormal stock returns. However, we also document higher COVID‐19 transmission rates and more employee safety complaints in communities where establishments with higher store traffic are managed by a Republican‐leaning CEO."
Retail,350,store visits,stock returns,Increase in store visits is associated with positive abnormal stock returns.,198,"ABSTRACT Maintaining economic output during the COVID‐19 pandemic results in benefits for firm shareholders but comes at a potential cost to public health. Using store‐level data, we examine how a CEO's political leaning impacts this trade‐off. We document that firms with a Republican‐leaning CEO experience a relative increase in store visits compared to firms with a Democratic‐leaning CEO. The increase in store visits is associated with higher sales and positive abnormal stock returns. However, we also document higher COVID‐19 transmission rates and more employee safety complaints in communities where establishments with higher store traffic are managed by a Republican‐leaning CEO."
Macroeconomic data,351,U.S. monetary policy shocks,global stock returns,U.S. monetary policy shocks have a total impact on global stock returns.,199,"ABSTRACT We quantify the role of global production linkages in explaining spillovers of U.S. monetary policy shocks on country‐sector stock returns. We estimate a structural spatial autoregression (SAR) model that is consistent with an open‐economy production network framework. Using the SAR model, we decompose the total impact of U.S. monetary policy on global stock returns into direct and network effects. Nearly 70% of the total impact is due to the network effect of global production linkages. Empirical counterfactuals show that shutting down global production linkages halves the total impact of U.S. monetary policy shocks."
Macroeconomic data,352,global production linkages,country‐sector stock returns,Global production linkages contribute to the spillovers of U.S. monetary policy shocks on country‐sector stock returns.,199,"ABSTRACT We quantify the role of global production linkages in explaining spillovers of U.S. monetary policy shocks on country‐sector stock returns. We estimate a structural spatial autoregression (SAR) model that is consistent with an open‐economy production network framework. Using the SAR model, we decompose the total impact of U.S. monetary policy on global stock returns into direct and network effects. Nearly 70% of the total impact is due to the network effect of global production linkages. Empirical counterfactuals show that shutting down global production linkages halves the total impact of U.S. monetary policy shocks."
Trading activity,353,intense buying by Robinhood users,negative returns,intense buying by Robinhood users forecasts negative returns,200,"ABSTRACT We study the influence of financial innovation by fintech brokerages on individual investors’ trading and stock prices. Using data from Robinhood, we find that Robinhood investors engage in more attention‐induced trading than other retail investors. For example, Robinhood outages disproportionately reduce trading in high‐attention stocks. While this evidence is consistent with Robinhood attracting relatively inexperienced investors, we show that it is also driven in part by the app's unique features. Consistent with models of attention‐induced trading, intense buying by Robinhood users forecasts negative returns. Average 20‐day abnormal returns are −4.7% for the top stocks purchased each day."
Trading activity,354,top stocks purchased each day,Average 20‐day abnormal returns,Average 20‐day abnormal returns are −4.7% for the top stocks purchased each day,200,"ABSTRACT We study the influence of financial innovation by fintech brokerages on individual investors’ trading and stock prices. Using data from Robinhood, we find that Robinhood investors engage in more attention‐induced trading than other retail investors. For example, Robinhood outages disproportionately reduce trading in high‐attention stocks. While this evidence is consistent with Robinhood attracting relatively inexperienced investors, we show that it is also driven in part by the app's unique features. Consistent with models of attention‐induced trading, intense buying by Robinhood users forecasts negative returns. Average 20‐day abnormal returns are −4.7% for the top stocks purchased each day."
Futures / indices,355,futures-cash basis,futures and spot returns,The futures-cash basis negatively predicts futures and spot returns.,201,"ABSTRACT Deviations from the law of one price between futures and spot prices—the futures‐cash basis—capture information about liquidity demand for equity market exposure in global markets. We show that the basis comoves with dealer and investor futures positions, is contemporaneously positively correlated with futures and spot market returns, and negatively predicts futures and spot returns. These findings are consistent with the futures‐cash basis reflecting liquidity demand that is common to futures and cash equity markets. We find persistent supply‐demand imbalances for equity index exposure reflected in the basis, giving rise to an annual premium of 5% to 6%."
Wide range,356,all securities' signals,individual return,All securities' signals predict each individual return,202,"ABSTRACT We propose a new asset pricing framework in which all securities' signals predict each individual return. While the literature focuses on securities' own‐signal predictability, assuming equal strength across securities, our framework includes cross‐predictability—leading to three main results. First, we derive the optimal strategy in closed form. It consists of eigenvectors of a “prediction matrix,” which we call “principal portfolios.” Second, we decompose the problem into alpha and beta, yielding optimal strategies with, respectively, zero and positive factor exposure. Third, we provide a new test of asset pricing models. Empirically, principal portfolios deliver significant out‐of‐sample alphas to standard factors in several data sets."
Investment banking,357,principal portfolios,standard factors,Principal portfolios deliver significant out‐of‐sample alphas to standard factors,202,"ABSTRACT We propose a new asset pricing framework in which all securities' signals predict each individual return. While the literature focuses on securities' own‐signal predictability, assuming equal strength across securities, our framework includes cross‐predictability—leading to three main results. First, we derive the optimal strategy in closed form. It consists of eigenvectors of a “prediction matrix,” which we call “principal portfolios.” Second, we decompose the problem into alpha and beta, yielding optimal strategies with, respectively, zero and positive factor exposure. Third, we provide a new test of asset pricing models. Empirically, principal portfolios deliver significant out‐of‐sample alphas to standard factors in several data sets."
Convertible / preferred,358,maturity,stock returns,The expected Capital Asset Pricing Model alpha on individual cash flows decreases in maturity within a firm.,203,"ABSTRACT We propose a duration‐based explanation for the premia on major equity factors, including value, profitability, investment, low‐risk, and payout factors. These factors invest in firms that earn most of their cash flows in the near future and could therefore be driven by a premium on near‐future cash flows. We test this hypothesis using a novel data set of single‐stock dividend futures, which are claims on dividends of individual firms. Consistent with our hypothesis, the expected Capital Asset Pricing Model alpha on individual cash flows decreases in maturity within a firm, and the alpha is not related to the above characteristics when controlling for maturity."
Retail,359,clientele demands,stock returns,clientele demands influence stock returns,204,"ABSTRACT We build a cross‐sectional factor model for investors' direct stockholdings and estimate it using data from almost 10 million retail accounts in the Indian stock market. Our model identifies strong investor clienteles for stock characteristics, most notably firm age and share price, and for particular clusters of stock characteristics. These clienteles are intuitively associated with investor attributes such as account age, size, and diversification. Coheld stocks tend to have higher return covariance, inconsistent with simple models of diversification but suggestive that clientele demands influence stock returns."
Investment banking,360,coheld stocks,stock returns,"coheld stocks tend to have higher return covariance, inconsistent with simple models of diversification",204,"ABSTRACT We build a cross‐sectional factor model for investors' direct stockholdings and estimate it using data from almost 10 million retail accounts in the Indian stock market. Our model identifies strong investor clienteles for stock characteristics, most notably firm age and share price, and for particular clusters of stock characteristics. These clienteles are intuitively associated with investor attributes such as account age, size, and diversification. Coheld stocks tend to have higher return covariance, inconsistent with simple models of diversification but suggestive that clientele demands influence stock returns."
Trading activity,361,Order imbalance volatility,stock returns,Order imbalance volatility is priced in the cross-section of stock returns.,205,"ABSTRACT We examine the dynamics of liquidity using a comprehensive sample of U.S. stocks in the post‐decimalization period. Motivated by a continuous‐time inventory model, we compute a high‐frequency measure of order imbalance volatility to proxy for the inventory risk faced by liquidity providers. We show that high‐frequency order imbalance volatility is an important driver of liquidity and explains the often positive time‐series relation between spread and volume for large stocks, which seems to run counter to most theoretical models. Furthermore, order imbalance volatility is priced in the cross‐section of stock returns."
Positive sentiment,362,SEP sentiment measure,negative abnormal returns,SEP sentiment measure predicts negative abnormal returns on the SEP reference stocks,206,"ABSTRACT We use retail structured equity product (SEP) issuances to construct a new sentiment measure for large capitalization stocks. The SEP sentiment measure predicts negative abnormal returns on the SEP reference stocks based on a variety of factor models, and also predicts returns in Fama‐MacBeth regressions that include a wide range of covariates. Consistent with our interpretation that SEP issuances reflect investor sentiment, aggregate SEP issuances are highly correlated with the Baker‐Wurgler sentiment index. Tobit regressions reveal that proxies for attention and sentiment predict SEP issuance volumes, providing additional evidence consistent with the hypothesis that SEP issuances reflect sentiment."
Positive sentiment,363,SEP sentiment measure,returns,SEP sentiment measure predicts returns in Fama‐MacBeth regressions,206,"ABSTRACT We use retail structured equity product (SEP) issuances to construct a new sentiment measure for large capitalization stocks. The SEP sentiment measure predicts negative abnormal returns on the SEP reference stocks based on a variety of factor models, and also predicts returns in Fama‐MacBeth regressions that include a wide range of covariates. Consistent with our interpretation that SEP issuances reflect investor sentiment, aggregate SEP issuances are highly correlated with the Baker‐Wurgler sentiment index. Tobit regressions reveal that proxies for attention and sentiment predict SEP issuance volumes, providing additional evidence consistent with the hypothesis that SEP issuances reflect sentiment."
Positive sentiment,364,proxies for attention and sentiment,SEP issuance volumes,Proxies for attention and sentiment predict SEP issuance volumes,206,"ABSTRACT We use retail structured equity product (SEP) issuances to construct a new sentiment measure for large capitalization stocks. The SEP sentiment measure predicts negative abnormal returns on the SEP reference stocks based on a variety of factor models, and also predicts returns in Fama‐MacBeth regressions that include a wide range of covariates. Consistent with our interpretation that SEP issuances reflect investor sentiment, aggregate SEP issuances are highly correlated with the Baker‐Wurgler sentiment index. Tobit regressions reveal that proxies for attention and sentiment predict SEP issuance volumes, providing additional evidence consistent with the hypothesis that SEP issuances reflect sentiment."
Biology / chemistry / physics,365,levels of carbon emissions,stock returns,Higher stock returns are associated with higher levels of carbon emissions in all sectors and most countries.,207,"ABSTRACT The energy transition away from fossil fuels exposes companies to carbon‐transition risk. Estimating the market‐based premium associated with carbon‐transition risk in a cross section of 14,400 firms in 77 countries, we find higher stock returns associated with higher levels and growth rates of carbon emissions in all sectors and most countries. Carbon premia related to emissions growth are greater for firms located in countries with lower economic development, larger energy sectors, and less inclusive political systems. Premia related to emission levels are higher in countries with stricter domestic climate policies. The latter have increased with investor awareness about climate change risk."
Macroeconomic data,366,growth rates of carbon emissions,stock returns,Higher stock returns are associated with higher growth rates of carbon emissions in all sectors and most countries.,207,"ABSTRACT The energy transition away from fossil fuels exposes companies to carbon‐transition risk. Estimating the market‐based premium associated with carbon‐transition risk in a cross section of 14,400 firms in 77 countries, we find higher stock returns associated with higher levels and growth rates of carbon emissions in all sectors and most countries. Carbon premia related to emissions growth are greater for firms located in countries with lower economic development, larger energy sectors, and less inclusive political systems. Premia related to emission levels are higher in countries with stricter domestic climate policies. The latter have increased with investor awareness about climate change risk."
Macroeconomic data,367,emissions growth,stock returns,Carbon premia related to emissions growth are greater for firms located in countries with lower economic development.,207,"ABSTRACT The energy transition away from fossil fuels exposes companies to carbon‐transition risk. Estimating the market‐based premium associated with carbon‐transition risk in a cross section of 14,400 firms in 77 countries, we find higher stock returns associated with higher levels and growth rates of carbon emissions in all sectors and most countries. Carbon premia related to emissions growth are greater for firms located in countries with lower economic development, larger energy sectors, and less inclusive political systems. Premia related to emission levels are higher in countries with stricter domestic climate policies. The latter have increased with investor awareness about climate change risk."
Challenges,368,emission levels,stock returns,Carbon premia related to emission levels are higher in countries with stricter domestic climate policies.,207,"ABSTRACT The energy transition away from fossil fuels exposes companies to carbon‐transition risk. Estimating the market‐based premium associated with carbon‐transition risk in a cross section of 14,400 firms in 77 countries, we find higher stock returns associated with higher levels and growth rates of carbon emissions in all sectors and most countries. Carbon premia related to emissions growth are greater for firms located in countries with lower economic development, larger energy sectors, and less inclusive political systems. Premia related to emission levels are higher in countries with stricter domestic climate policies. The latter have increased with investor awareness about climate change risk."
Product prices,369,variable production costs,stock returns,Variable production costs reduce systematic risk of firms' cash flows.,208,"ABSTRACT We show theoretically that variable production costs reduce systematic risk of firms' cash flows if capital and variable inputs are complementary in firms' production and input prices are procyclical. In our dynamic model, this operating hedge effect is weaker for more profitable firms, giving rise to a gross profitability premium. Moreover, gross profitability and value factors are distinct and negatively correlated, and their premia are not captured by the capital asset pricing model (CAPM). We estimate the model by simulated method of moments, and find that its main implications for stock returns and cash flow dynamics are quantitatively consistent with the data."
Earnings forecasts,370,gross profitability,stock returns,"Gross profitability gives rise to a gross profitability premium, which affects stock returns.",208,"ABSTRACT We show theoretically that variable production costs reduce systematic risk of firms' cash flows if capital and variable inputs are complementary in firms' production and input prices are procyclical. In our dynamic model, this operating hedge effect is weaker for more profitable firms, giving rise to a gross profitability premium. Moreover, gross profitability and value factors are distinct and negatively correlated, and their premia are not captured by the capital asset pricing model (CAPM). We estimate the model by simulated method of moments, and find that its main implications for stock returns and cash flow dynamics are quantitatively consistent with the data."
Earnings,371,gross profitability and value factors,stock returns,"The relationship between the gross profitability and value factors is distinct and negatively correlated, impacting stock returns.",208,"ABSTRACT We show theoretically that variable production costs reduce systematic risk of firms' cash flows if capital and variable inputs are complementary in firms' production and input prices are procyclical. In our dynamic model, this operating hedge effect is weaker for more profitable firms, giving rise to a gross profitability premium. Moreover, gross profitability and value factors are distinct and negatively correlated, and their premia are not captured by the capital asset pricing model (CAPM). We estimate the model by simulated method of moments, and find that its main implications for stock returns and cash flow dynamics are quantitatively consistent with the data."
Trading activity,372,front-page positioning of news articles,stock returns,Front-page articles lead to a 240% higher trading volume and 176% larger absolute excess returns compared to non-front-page articles.,209,"ABSTRACT This paper estimates the effect of news positioning on the speed of price discovery, using exogenous variation in prominent (“front‐page”) positioning of news articles on the Bloomberg terminal. Front‐page articles see 240% higher trading volume and 176% larger absolute excess returns during the first 10 minutes after publication than equally important non‐front‐page articles. Overall, the information in front‐page articles is fully incorporated into prices within an hour of publication. The response to non‐front‐page information of similar importance eventually converges but takes more than two days to be fully reflected in prices."
Macroeconomic data,373,complex models,market returns,Complex models significantly improve the predictability of market returns compared to simple models.,210,"ABSTRACT Much of the extant literature predicts market returns with “simple” models that use only a few parameters. Contrary to conventional wisdom, we theoretically prove that simple models severely understate return predictability compared to “complex” models in which the number of parameters exceeds the number of observations. We empirically document the virtue of complexity in U.S. equity market return prediction. Our findings establish the rationale for modeling expected returns through machine learning."
Positive sentiment,374,Investor sentiment,low stock returns,Investor sentiment explains low stock returns in the cross‐country and within‐A‐share samples.,211,"ABSTRACT Domestically listed Chinese (A‐share) firms have lower stock returns than externally listed Chinese, developed, and emerging country firms during 2000 to 2018. They also have lower net cash flows than matched unlisted Chinese firms. The underperformance of both stock and accounting returns is more pronounced for large A‐share firms, while small firms show no underperformance along either dimension. Investor sentiment explains low stock returns in the cross‐country and within‐A‐share samples. Institutional deficiencies in listing and delisting processes and weak corporate governance in terms of shareholder value creation are consistent with the underperformance in stock returns and net cash flows."
Corporate governance,375,Institutional deficiencies in listing and delisting processes and weak corporate governance,underperformance in stock returns,Institutional deficiencies in listing and delisting processes and weak corporate governance are consistent with the underperformance in stock returns.,211,"ABSTRACT Domestically listed Chinese (A‐share) firms have lower stock returns than externally listed Chinese, developed, and emerging country firms during 2000 to 2018. They also have lower net cash flows than matched unlisted Chinese firms. The underperformance of both stock and accounting returns is more pronounced for large A‐share firms, while small firms show no underperformance along either dimension. Investor sentiment explains low stock returns in the cross‐country and within‐A‐share samples. Institutional deficiencies in listing and delisting processes and weak corporate governance in terms of shareholder value creation are consistent with the underperformance in stock returns and net cash flows."
Options / VIX,376,market return and variance,option returns,Market return and variance explain more than 90% of option return variation.,212,"ABSTRACT We propose a novel factor model for option returns. Option exposures are estimated nonparametrically, and factor risk premia can vary nonlinearly with states. The model is estimated using regressions with minimal assumptions on factor and option return dynamics. We estimate the model using index options to characterize the conditional risk premia for factors of interest, such as the market return, market variance, tail and intermediary risk factors, higher moments, and the VIX term structure slope. Together, market return and variance explain more than 90% of option return variation. Unconditionally, the magnitude of the variance risk premium is plausible. It displays pronounced time variation, spikes during crises, and always has the expected sign."
Macroeconomic data,377,News attention,aggregate stock market returns,News attention can forecast aggregate stock market returns.,213,"ABSTRACT We propose an approach to measuring the state of the economy via textual analysis of business news. From the full text of 800,000 Wall Street Journal articles for 1984 to 2017, we estimate a topic model that summarizes business news into interpretable topical themes and quantifies the proportion of news attention allocated to each theme over time. News attention closely tracks a wide range of economic activities and can forecast aggregate stock market returns. A text‐augmented vector autoregression demonstrates the large incremental role of news text in forecasting macroeconomic dynamics. We retrieve the narratives that underlie these improvements in market and business cycle forecasts."
Currencies / metals,378,currency risk hedging,return variability,Funds that hedge their currency risk exhibit lower return variability,214,"ABSTRACT Investments in international fixed‐income securities are exposed to significant currency risks. We collect novel data on currency derivatives used by U.S. international fixed‐income funds. We document that while 90% of funds use currency forwards, they hedge, on average, only 18% of their currency exposure. Funds' currency forward positions differ substantially based on risk management demands related to portfolio currency exposure, return‐enhancement motives such as currency momentum and carry trade, and strategic considerations related to past performance and fund clientele. Funds that hedge their currency risk exhibit lower return variability, but do not generate inferior abnormal returns."
Macroeconomic data,379,adjusted value,CAPM‐implied abnormal price,adjusted value provides a parsimonious model of CAPM‐implied abnormal price,215,"ABSTRACT We propose a novel way to estimate a portfolio's abnormal price, the percentage gap between price and the present value of dividends computed with a chosen asset pricing model. Our method, based on a novel identity, resembles the time‐series estimator of abnormal returns, avoids the issues in alternative approaches, and clarifies the role of risk and mispricing in long‐horizon returns. We apply our techniques to study the cross‐section of price levels relative to the capital asset pricing model (CAPM) and find that a single characteristic, adjusted value, provides a parsimonious model of CAPM‐implied abnormal price."
Futures / indices,380,being added to the S&P 500,abnormal return,The abnormal return associated with a stock being added to the S&P 500 has fallen from an average of 7.4% in the 1990s to less than 1% over the past decade.,216,"ABSTRACT The abnormal return associated with a stock being added to the S&amp;P 500 has fallen from an average of 7.4% in the 1990s to less than 1% over the past decade. This has occurred despite a significant increase in the share of stock market assets linked to the index. A similar pattern has occurred for index deletions, with large negative abnormal returns during the 1990s but an average return of only 0.1% between 2010 and 2020. We investigate the drivers of this phenomenon and discuss implications for market efficiency. We document a similar decline in the index effect among other families of indices."
